"Country","binaryValue","RFMOnew"
"Belize",1,"IATTC"
"Colombia",1,"IATTC"
"Costa Rica",1,"IATTC"
"El Salvador",1,"IATTC"
"European Union",1,"IATTC"
"Guatemala",1,"IATTC"
"Japan",1,"IATTC"
"Mexico",1,"IATTC"
"Nigaragua",1,"IATTC"
"Panama",1,"IATTC"
"USA ",1,"IATTC"
"China",0,"IATTC"
"Chinese Taipei/Taiwan",0,"IATTC"
"Colombia",0,"IATTC"
"European Union",0,"IATTC"
"Japan",0,"IATTC"
"Korea",0,"IATTC"
"Mexico",0,"IATTC"
"Nigaragua",0,"IATTC"
"Australia",1,"WCPFC"
"European Union",1,"WCPFC"
"FFA ",1,"WCPFC"
"Japan",1,"WCPFC"
"Palau",1,"WCPFC"
"Tonga",1,"WCPFC"
"USA ",1,"WCPFC"
"Australia",1,"WCPFC"
"Canada",1,"WCPFC"
"China",1,"WCPFC"
"Chinese Taipei/Taiwan",1,"WCPFC"
"European Union",1,"WCPFC"
"FFA ",1,"WCPFC"
"Fiji",1,"WCPFC"
"French Polynesia",1,"WCPFC"
"Indonesia",1,"WCPFC"
"Korea",1,"WCPFC"
"Mexico",1,"WCPFC"
"Micronesia",1,"WCPFC"
"New Caledonia ",1,"WCPFC"
"New Zealand",1,"WCPFC"
"Palau",1,"WCPFC"
"Papua New Guinea",1,"WCPFC"
"Philippines ",1,"WCPFC"
"PNA",1,"WCPFC"
"Samoa",1,"WCPFC"
"Tuvalu",1,"WCPFC"
"USA ",1,"WCPFC"
"China",0,"WCPFC"
"Chinese Taipei/Taiwan",0,"WCPFC"
"Indonesia",0,"WCPFC"
"Japan",0,"WCPFC"
"Kiribati",0,"WCPFC"
"Korea",0,"WCPFC"
"Papua New Guinea",0,"WCPFC"
"USA ",0,"WCPFC"
"Australia",1,"IOTC"
"European Union",1,"IOTC"
"France",1,"IOTC"
"Maldives",1,"IOTC"
"South Africa",1,"IOTC"
"Seychelles",1,"IOTC"
"Maldives",1,"IOTC"
"Australia",0,"IOTC"
"China",0,"IOTC"
"Japan",0,"IOTC"
"Korea",0,"IOTC"
"India",0,"IOTC"
